id,category,requirement,status,evidence,notes
F01,functional,지원 logical camera 자동 등록,BLOCKED_HARDWARE,"crates/camera-discovery/src; camera grouping tests","실제 USB logical camera가 없어 production hotplug는 미실행"
F02,functional,활성 카메라별 고유 virtual camera,BLOCKED_HARDWARE,"crates/virtual-camera/src; scripts/prepare-host.sh","WSL kernel에 실제 v4l2loopback device가 없음"
F03,functional,stream exclude 카메라는 UI 유지,PASS,"crates/edge-core/src/lib.rs; camera policy tests","UiOnlyHandle과 송출 제외 분리"
F04,functional,anchor가 정확히 한 카메라로 해석,PASS,"crates/camera-discovery/src/lib.rs; selector tests","selector precedence와 uniqueness assertion"
F05,functional,anchor와 exclude/disable 충돌 오류,PASS,"crates/camera-discovery/src/lib.rs; anchor_exclusion_is_a_configuration_error","fail closed"
F06,functional,모든 송출 AU exactly one timestamp SEI,PASS,"crates/metadata-codec; robot-synthetic-roundtrip","실제 H.264 24 AU 검사"
F07,functional,anchor AU만 CRC context,PASS,"crates/edge-core/src/context.rs; crates/metadata-codec; synthetic round-trip","CRC mutation test 포함"
F08,functional,non-anchor AU timestamp-only,PASS,"crates/metadata-codec/src/metadata_ext.rs; synthetic round-trip","secondary semantic rejection assertion"
F09,functional,Core 수정 없이 Adapter 추가,PASS,"proto/adapter_api.proto; adapters/template; adapters/gripper_fixture","template와 gripper image self-test"
F10,functional,anchor capture time state/action resampling,PASS,"crates/timebase; crates/edge-core/src/context.rs","bounded deterministic interpolation tests"
F11,functional,camera별 SRT port와 stable slot,PASS,"crates/stream-identity; crates/camera-discovery","canonical vector와 port-slot tests"
F12,functional,Receiver provisional stream ID plus port 식별,PASS,"crates/receiver/src/lib.rs; scripts/run-srt-reconnect-test.sh","인증된 actual SRT 2회 연결"
F13,functional,manifest anchor authoritative,PASS,"crates/receiver/src/synchronize.rs; manifest bootstrap tests","transport role은 hint만 사용"
F14,functional,role manifest slot epoch codec port 교차 검증,PASS,"crates/receiver/src/synchronize.rs; conflict tests","불일치 quarantine"
F15,functional,decoder 전 SEI 추출,PASS,"crates/receiver/src/linux.rs; robot-synthetic-roundtrip","predecode appsink과 decoder branch 동시 실행"
F16,functional,manifest late join과 bounded pending,PASS,"crates/metadata-codec/src/metadata_ext.rs; crates/receiver/src/runtime.rs","timeout capacity conflict tests"
F17,functional,anchor 기준 multicamera dataset step,PASS,"crates/receiver/src/synchronize.rs; robot-replay-verify","24 synchronized steps 재구성"
F18,functional,Receiver session catalog anchor manifest quality step API,PASS,"proto/receiver_api.proto; crates/receiver/src/runtime.rs","ListSessions와 production tonic/runtime tests"
F19,functional,raw TS envelope index hash 보존,PASS,"crates/receiver/src/replay.rs; validation/runtime/archive-conformance","segment SHA 검증과 deterministic replay"
F20,functional,AU correlation failure invalid or drop,PASS,"crates/edge-core/src/context.rs; crates/receiver/src/synchronize.rs","duplicate missing timeout fail-closed tests"
F21,functional,actual anchor cadence only and no synthetic image,PASS,"python/dataset_builder/app; python/dataset_builder/tests","exact LeRobot pytest cadence rejection"
F22,functional,송출 Receiver 장애 시 virtual camera 유지,BLOCKED_HARDWARE,"crates/edge-core/src/lib.rs; scripts/run-fault-tests.sh","branch isolation은 검증했으나 실제 v4l2loopback sink 지속성은 미실행"
F23,functional,Docker Compose Edge Receiver Adapter 실행,PASS,"compose.edge.yaml; compose.receiver.yaml; Docker image runtime checks","Web Relay 포함 6 images built; native gRPC/HLS/SSE integration PASS"
N01,nonfunctional,Generic Core Receiver vendor SDK 없음,PASS,"scripts/verify-vendor-boundary.py; Cargo.lock","RB-Y1 SDK는 adapters/rby1에만 존재"
N02,nonfunctional,Adapter camera stream crash 격리,PASS,"crates/edge-core/src/lib.rs; scripts/run-srt-reconnect-test.sh","independent bounded branches and actual reconnect"
N03,nonfunctional,모든 resource bounded,PASS,"crates/*; bounded queue ring reassembly tests","unbounded channel source scan 0"
N04,nonfunctional,restart hotplug stable mapping and collision fail closed,BLOCKED_HARDWARE,"crates/camera-discovery/src; persistence/collision tests","실제 USB unplug/replug만 미실행"
N05,nonfunctional,removed slot tombstone no automatic reuse,PASS,"crates/camera-discovery/src/lib.rs; slots_persist_and_tombstones_are_not_reused","atomic persistent map"
N06,nonfunctional,secrets image repository 미포함,PASS,"scripts/validate-package.py; scripts/package.sh; .dockerignore","실제 ZIP content 검사"
N07,nonfunctional,HMAC와 port-slot 운영 강제,PASS,"crates/stream-identity; crates/receiver/src/lib.rs; actual SRT test","canonical HMAC tamper/noncanonical tests"
N08,nonfunctional,manifest context DoS limits,PASS,"crates/metadata-codec/src/metadata_ext.rs; config/protocol_constants.toml","size CRC timeout ratio chunk bounds"
N09,nonfunctional,control lease와 safety validation,PASS,"crates/edge-core/src/control.rs; crates/edge-core/src/gateway.rs","exclusive expiry duplicate unsafe-value tests"
N10,nonfunctional,disk pressure readiness episode 반영,PASS,"crates/receiver/src/main.rs; crates/receiver/src/replay.rs","forced MIN_FREE_DISK_GB returns HTTP 503"
N11,nonfunctional,GStreamer plugin SEI round-trip readiness 포함,PASS,"crates/edge-core/src/main.rs; crates/edge-core/src/linux.rs","hardened image healthcheck executes 24-AU test"
N12,nonfunctional,manifest schema protocol revision reproducible,PASS,"protocol/constants.toml; crates/protocol; scripts/validate-package.py","checked-in generated constants drift test"
N13,nonfunctional,exact LeRobot transactional export,PASS,"python/dataset_builder/requirements.lock; python/dataset_builder/app","lerobot 0.6.0 pytest 5 and runtime ready"
N14,nonfunctional,irregular cadence not silently labeled 30 Hz,PASS,"python/dataset_builder/app/transaction.py; pytest cadence tests","fail closed without frame synthesis"
